n,s
1300,424533
1300,430819
1300,435699
1300,437216
1300,429829
1300,422166
1300,423998
1300,421652
1300,424309
1300,418402
1300,437479
1300,417192
1300,429438
1300,444426
1300,444768
1300,424218
1300,428716
1300,436511
1300,437250
1300,437686
1300,435533
1300,425671
1300,437822
1300,447630
1300,429923
1300,423574
1300,422716
1300,429213
1300,430991
1300,435598
1300,426208
1300,435556
1300,413481
1300,430051
1300,420930
1300,436327
1300,430688
1300,435040
1300,433083
1300,430835
1300,438004
1300,434657
1300,430202
1400,497899
1400,502043
1400,484225
1400,502159
1400,491110
1400,500533
1400,483771
1400,514326
1400,507180
1400,506757
1400,493326
1400,500003
1400,507496
1400,490750
1400,507319
1400,509483
1400,500316
1400,498995
1400,507744
1400,511332
1400,496204
1400,507986
1400,494432
1400,514761
1400,486351
1400,511283
1400,499236
1400,494833
1400,493892
1400,491050
1400,483133
1400,495308
1400,494822
1400,505217
1400,508799
1400,491167
1400,491704
1400,498344
1400,493078
1400,500725
1400,511313
1400,494966
1400,489333
1400,500413
1400,505558
1400,497517
1400,499642
1400,482451
1400,511447
1400,490485
1500,565233
1500,568901
1500,550854
1500,578769
1500,565737
1500,567376
1500,569461
1500,567874
1500,584269
1500,572157
1500,564630
1500,588153
1500,574882
1500,582733
1500,554236
1500,583096
1500,579066
1500,563367
1500,556195
1500,569677
1500,590878
1500,563974
1500,579108
1500,574619
1500,556362
1500,566648
1500,575025
1500,593998
1500,568167
1500,572167
1500,569101
1500,578595
1500,587029
1500,563465
1500,568298
1500,550388
1500,554519
1500,548066
1500,570421
1500,574200
1500,570988
1500,563693
1500,556369
1500,564439
1500,583591
1500,592379
1500,579995
1500,583049
1500,584938
1500,562485
1600,657711
1600,668023
1600,663343
1600,632660
1600,633091
1600,640386
1600,664223
1600,652241
1600,646763
1600,650138
1600,645118
1600,667130
1600,646717
1600,659787
1600,671004
1600,651590
1600,655027
1600,645062
1600,644731
1600,665018
1600,656278
1600,658894
1600,654500
1600,664030
1600,647634
1600,663326
1600,653372
1600,640937
1600,654412
1600,646541
1600,661554
1600,657913
1600,639182
1600,647770
1600,652569
1600,668306
1600,649729
1600,652567
1600,652279
1600,686258
1600,645702
1600,640597
1600,663825
1600,675766
1600,649230
1600,647394
1600,635980
1600,669082
1600,651099
1600,643619
1700,752181
1700,733518
1700,727671
1700,742871
1700,729765
1700,744244
1700,738111
1700,733913
1700,734435
1700,752722
1700,738311
1700,734639
1700,733497
1700,741170
1700,744872
1700,747476
1700,739898
1700,747388
1700,728831
1700,724766
1700,729259
1700,751348
1700,750309
1700,746059
1700,711746
1700,711517
1700,739384
1700,738786
1700,752751
1700,734178
1700,754412
1700,735168
1700,731068
1700,751013
1700,755420
1700,727453
1700,728060
1700,740710
1700,759140
1700,730137
1700,735108
1700,744283
1700,719060
1700,722297
1700,728773
1700,747989
1700,729728
1700,736682
1700,731655
1700,734686
1800,827706
1800,843402
1800,828439
1800,826151
1800,821349
1800,810719
1800,822855
1800,823797
1800,813854
1800,849407
1800,816587
1800,814467
1800,839038
1800,819718
1800,814117
1800,836232
1800,838865
1800,847077
1800,823156
1800,826115
1800,816316
1800,823272
1800,847070
1800,823835
1800,804917
1800,837794
1800,808879
1800,828170
1800,800925
1800,838355
1800,805975
1800,818889
1800,828900
1800,818082
1800,809420
1800,814925
1800,842131
1800,818326
1800,831506
1800,836243
1800,809544
1800,824353
1800,835230
1800,819765
1800,842962
1800,843840
1800,840150
1800,807068
1800,839590
1800,826547
1900,924926
1900,916210
1900,923500
1900,911960
1900,908773
1900,929352
1900,902817
1900,894482
1900,919882
1900,902408
1900,941332
1900,940133
1900,902491
1900,910778
1900,926163
1900,914766
1900,945153
1900,919827
1900,910244
1900,928676
1900,928268
1900,890761
1900,902815
1900,936934
1900,950577
1900,927521
1900,916697
1900,907077
1900,925252
1900,934548
1900,908240
1900,913461
1900,912744
1900,908129
1900,923276
1900,929424
1900,925117
1900,913181
1900,929939
1900,910469
1900,915780
1900,930148
1900,942933
1900,918476
1900,915794
1900,936485
1900,937676
1900,881391
1900,904028
1900,914896
2000,1017856
2000,1033914
2000,1037338
2000,1025708
2000,1001638
2000,1029186
2000,1006562
2000,1034200
2000,1011743
2000,1006422
2000,1024185
2000,1006551
2000,1020506
2000,1023858
2000,1009641
2000,1033572
2000,1015794
2000,1044450
2000,1036050
2000,1043340
2000,1015656
2000,1010061
2000,1012698
2000,1019164
2000,1023487
2000,1023683
2000,1014784
2000,1034427
2000,1036922
2000,1017661
2000,1015349
2000,1029092
2000,1033326
2000,1017146
2000,1028813
2000,1034457
2000,1054780
2000,1024037
2000,1024046
2000,1024408
2000,1028239
2000,1024540
2000,1020658
2000,1006997
2000,1034094
2000,1026372
2000,1015382
2000,998248
2000,1028088
2000,1018182
2100,1115002
2100,1115829
2100,1124097
2100,1129066
2100,1105981
2100,1103347
2100,1114063
2100,1102894
2100,1113143
2100,1111873
2100,1107931
2100,1141548
2100,1139641
2100,1132718
2100,1112613
2100,1101942
2100,1128262
2100,1122893
2100,1097506
2100,1125379
2100,1146863
2100,1135567
2100,1097437
2100,1110959
2100,1152519
2100,1131672
2100,1124531
2100,1136420
2100,1127364
2100,1138400
2100,1117136
2100,1130359
2100,1143639
2100,1135741
2100,1134848
2100,1124004
2100,1148914
2100,1112657
2100,1100916
2100,1146895
2100,1114248
2100,1121440
2100,1139940
2100,1088309
2100,1138044
2100,1110057
2100,1119736
2100,1118530
2100,1127942
2100,1144383
2200,1228276
2200,1211491
2200,1263715
2200,1248114
2200,1210818
2200,1242590
2200,1250178
2200,1231215
2200,1222170
2200,1259741
2200,1209850
2200,1223584
2200,1212160
2200,1263425
2200,1261428
2200,1218726
2200,1241891
2200,1241244
2200,1247468
2200,1241984
2200,1220205
2200,1242939
2200,1225480
2200,1235135
2200,1241276
2200,1245112
2200,1244940
2200,1231518
2200,1230932
2200,1236240
2200,1231870
2200,1238481
2200,1226716
2200,1233482
2200,1257970
2200,1264768
2200,1256544
2200,1236680
2200,1241167
2200,1223993
2200,1242104
2200,1226437
2200,1224646
2200,1256413
2200,1212631
2200,1233007
2200,1232116
2200,1251051
2200,1259287
2200,1220664
2300,1357708
2300,1316618
2300,1324913
2300,1315916
2300,1361026
2300,1369273
2300,1380616
2300,1328379
2300,1364066
2300,1333917
2300,1317230
2300,1371434
2300,1333095
2300,1372637
2300,1327870
2300,1345363
2300,1353684
2300,1343471
2300,1309199
2300,1360222
2300,1378897
2300,1366913
2300,1354308
2300,1360082
2300,1348935
2300,1350378
2300,1353841
2300,1361869
2300,1338580
2300,1342128
2300,1338282
2300,1366136
2300,1297283
2300,1338427
2300,1369012
2300,1352283
2300,1355214
2300,1359980
2300,1342819
2300,1335652
2300,1370091
2300,1343641
2300,1385623
2300,1318721
2300,1362015
2300,1356863
2300,1343009
2300,1342771
2300,1364725
2300,1388210
2400,1505119
2400,1483805
2400,1480935
2400,1493194
2400,1453408
2400,1445910
2400,1433048
2400,1446617
2400,1482152
2400,1492194
2400,1480831
2400,1453401
2400,1441614
2400,1479574
2400,1453904
2400,1496129
2400,1461828
2400,1499676
2400,1428552
2400,1493678
2400,1484415
2400,1470477
2400,1440383
2400,1471101
2400,1457913
2400,1462765
2400,1474275
2400,1436780
2400,1468934
2400,1478428
2400,1463783
2400,1430585
2400,1511093
2400,1489173
2400,1438974
2400,1452592
2400,1457946
2400,1477724
2400,1458753
2400,1452835
2400,1454214
2400,1472929
2400,1437656
2400,1443972
2400,1479300
2400,1468213
2400,1497466
2400,1482500
2400,1438285
2400,1437837
2500,1621511
2500,1590272
2500,1618887
2500,1599706
2500,1570973
2500,1603396
2500,1569599
2500,1617880
2500,1580793
2500,1596858
2500,1567376
2500,1598191
2500,1591389
2500,1609303
2500,1600503
2500,1581538
2500,1599304
2500,1608578
2500,1636983
2500,1583433
2500,1582879
2500,1577967
2500,1603146
2500,1582388
2500,1593167
2500,1585654
2500,1625118
2500,1630194
2500,1631926
2500,1565283
2500,1578573
2500,1606398
2500,1612371
2500,1588069
2500,1599898
2500,1612432
2500,1600005
2500,1601010
2500,1600056
2500,1595056
2500,1586211
2500,1642055
2500,1588408
2500,1597904
2500,1590996
2500,1567144
2500,1582626
2500,1597112
2500,1574105
2500,1559714
2600,1738329
2600,1726021
2600,1763512
2600,1740843
2600,1717580
2600,1708438
2600,1709088
2600,1694606
2600,1729037
2600,1723165
2600,1703822
2600,1700289
2600,1705828
2600,1721251
2600,1721751
2600,1705132
2600,1713518
2600,1732221
2600,1723868
2600,1728723
2600,1748629
2600,1718277
2600,1751314
2600,1714485
2600,1720337
2600,1687483
2600,1683399
2600,1709773
2600,1728029
2600,1739869
2600,1728820
2600,1735474
2600,1755116
2600,1751173
2600,1726551
2600,1731626
2600,1736658
2600,1706952
2600,1730654
2600,1725795
2600,1747957
2600,1747494
2600,1709240
2600,1740333
2600,1751247
2600,1710071
2600,1723143
2600,1724758
2600,1695620
2600,1717363
2700,1867407
2700,1881930
2700,1862801
2700,1861505
2700,1862946
2700,1844688
2700,1857018
2700,1847467
2700,1940885
2700,1871836
2700,1857046
2700,1859687
2700,1823855
2700,1834632
2700,1847706
2700,1874900
2700,1847958
2700,1873456
2700,1853082
2700,1818071
2700,1866753
2700,1908000
2700,1851852
2700,1869072
2700,1867443
2700,1868588
2700,1862379
2700,1883161
2700,1870483
2700,1871056
2700,1854230
2700,1852710
2700,1865605
2700,1838996
2700,1862711
2700,1853557
2700,1878911
2700,1828811
2700,1816159
2700,1802414
2700,1865247
2700,1847598
2700,1854846
2700,1889949
2700,1845651
2700,1840360
2700,1825316
2700,1835566
2700,1885557
2700,1882171
2800,1993470
2800,2012927
2800,2043926
2800,2008379
2800,1990755
2800,1951151
2800,2001437
2800,2011774
2800,1976821
2800,2001650
2800,2027485
2800,2011110
2800,1959082
2800,2039161
2800,2004812
2800,1983451
2800,1990608
2800,1993773
2800,1981793
2800,2025360
2800,2037324
2800,1996336
2800,1980923
2800,2047563
2800,1951398
2800,1985759
2800,1993157
2800,2042656
2800,2012488
2800,1973048
2800,2008962
2800,1951811
2800,2003567
2800,1989771
2800,2030928
2800,2002482
2800,1998831
2800,1956982
2800,2029766
2800,2013861
2800,1979518
2800,1993649
2800,2025480
2800,1990973
2800,2063259
2800,2046652
2800,1992083
2800,1990331
2800,1997817
2800,1991288
2900,2144494
2900,2133575
2900,2148983
2900,2150652
2900,2180257
2900,2190478
2900,2183771
2900,2138105
2900,2122229
2900,2163105
2900,2129090
2900,2185113
2900,2145913
2900,2121841
2900,2149891
2900,2129712
2900,2159724
2900,2190944
2900,2138593
2900,2175422
2900,2151593
2900,2136768
2900,2139168
2900,2118573
2900,2121835
2900,2190016
2900,2152093
2900,2171768
2900,2099547
2900,2143840
2900,2115177
2900,2150476
2900,2162937
2900,2165106
2900,2164530
2900,2104058
2900,2133669
2900,2152429
2900,2156463
2900,2103138
2900,2192769
2900,2151903
2900,2138897
2900,2171180
2900,2110672
2900,2143029
2900,2168364
2900,2144187
2900,2135193
2900,2126126
3000,2300234
3000,2279651
3000,2300097
3000,2287864
3000,2291022
3000,2323371
3000,2275364
3000,2349190
3000,2311832
3000,2263265
3000,2307933
3000,2283066
3000,2330725
3000,2341688
3000,2347728
3000,2276470
3000,2280559
3000,2324919
3000,2282390
3000,2278950
3000,2282455
3000,2264292
3000,2228762
3000,2284030
3000,2315654
3000,2291507
3000,2316898
3000,2287612
3000,2294054
3000,2296901
3000,2286293
3000,2342226
3000,2318987
3000,2310947
3000,2311985
3000,2298569
3000,2249897
3000,2243853
3000,2319224
3000,2272649
3000,2277626
3000,2252250
3000,2311887
3000,2271064
3000,2298166
3000,2303997
3000,2257639
3000,2296320
3000,2315569
3000,2319794
3100,2381443
3100,2492736
3100,2496220
3100,2439726
3100,2427673
3100,2445154
3100,2463544
3100,2454798
3100,2499558
3100,2439201
3100,2460085
3100,2476851
3100,2419765
3100,2461144
3100,2418871
3100,2464785
3100,2487055
3100,2415351
3100,2435881
3100,2437435
3100,2459573
3100,2423079
3100,2491834
3100,2393686
3100,2444544
3100,2433534
3100,2459418
3100,2470561
3100,2451767
3100,2471516
3100,2483544
3100,2441818
3100,2461439
3100,2458533
3100,2486637
3100,2405079
3100,2423024
3100,2471271
3100,2435241
3100,2387214
3100,2456272
3100,2425498
3100,2431436
3100,2433858
3100,2444198
3100,2487502
3100,2496079
3100,2465930
3100,2450839
3100,2449883
3200,2620239
3200,2636250
3200,2645664
3200,2614561
3200,2592938
3200,2580478
3200,2616103
3200,2605920
3200,2604004
3200,2563131
3200,2625188
3200,2595158
3200,2654992
3200,2637994
3200,2592743
3200,2525681
3200,2596241
3200,2631494
3200,2594290
3200,2604660
3200,2573225
3200,2597393
3200,2606632
3200,2597131
3200,2576747
3200,2621823
3200,2557384
3200,2579181
3200,2643773
3200,2647269
3200,2565904
3200,2601196
3200,2608072
3200,2622525
3200,2571189
3200,2609779
3200,2575497
3200,2629995
3200,2630560
3200,2639909
3200,2631046
3200,2590913
3200,2615279
3200,2614295
3200,2678951
3200,2613474
3200,2574805
3200,2641369
3200,2601516
3200,2632358
3300,2809794
3300,2759041
3300,2782373
3300,2779717
3300,2785661
3300,2789510
3300,2772729
3300,2742806
3300,2804490
3300,2797745
3300,2775118
3300,2761251
3300,2765559
3300,2794737
3300,2790269
3300,2766708
3300,2743609
3300,2786473
3300,2777264
3300,2805209
3300,2861500
3300,2754559
3300,2806036
3300,2793580
3300,2767904
3300,2772073
3300,2743991
3300,2756350
3300,2829896
3300,2756454
3300,2726593
3300,2864187
3300,2756233
3300,2736052
3300,2784321
3300,2779398
3300,2765028
3300,2750283
3300,2807225
3300,2756063
3300,2726417
3300,2791388
3300,2744680
3300,2798017
3300,2773015
3300,2738188
3300,2792530
3300,2799787
3300,2811487
3300,2779658
3400,2950641
3400,2962902
3400,2903419
3400,2980938
3400,2956300
3400,2911957
3400,2969544
3400,2888490
3400,2946708
3400,2974884
3400,2953413
3400,3030977
3400,2967239
3400,2934982
3400,2983102
3400,2969360
3400,2937430
3400,2986046
3400,2961365
3400,2956755
3400,2909984
3400,2864185
3400,2927895
3400,2928125
3400,2899701
3400,3018865
3400,2920995
3400,2938051
3400,2994390
3400,2996214
3400,2914567
3400,2965050
3400,3039763
3400,2968343
3400,2954502
3400,2937090
3400,2993896
3400,2963797
3400,2979502
3400,2975680
3400,2951419
3400,2915331
3400,2961611
3400,2928479
3400,2927654
3400,2977679
3400,2931371
3400,2942464
3400,2918900
3400,2969325
3500,3156638
3500,3122604
3500,3137836
3500,3129674
3500,3131451
3500,3125083
3500,3173589
3500,3113898
3500,3141256
3500,3110077
3500,3120376
3500,3132115
3500,3092787
3500,3170935
3500,3117680
3500,3169998
3500,3104483
3500,3145406
3500,3112390
3500,3145432
3500,3114119
3500,3126916
3500,3137895
3500,3170790
3500,3178790
3500,3110678
3500,3092191
3500,3108610
3500,3032352
3500,3057134
3500,3141102
3500,3167765
3500,3132481
3500,3151500
3500,3087594
3500,3115293
3500,3128597
3500,3130488
3500,3133753
3500,3106466
3500,3126805
3500,3088335
3500,3114716
3500,3129784
3500,3043544
3500,3102513
3500,3110150
3500,3106964
3500,3064015
3500,3061685
3600,3322301
3600,3313827
3600,3259340
3600,3289721
3600,3246204
3600,3306935
3600,3346725
3600,3272930
3600,3272471
3600,3314289
3600,3303359
3600,3274142
3600,3387584
3600,3282530
3600,3254901
3600,3327546
3600,3323266
3600,3282995
3600,3272991
3600,3326842
3600,3312860
3600,3267588
3600,3360796
3600,3240303
3600,3314506
3600,3331977
3600,3326954
3600,3261738
3600,3317496
3600,3330910
3600,3248473
3600,3303174
3600,3244621
3600,3348273
3600,3401991
3600,3285379
3600,3343208
3600,3327495
3600,3297202
3600,3339656
3600,3280348
3600,3280597
3600,3268225
3600,3347410
3600,3353205
3600,3224370
3600,3257706
3600,3261387
3600,3345049
3600,3314586
3700,3512924
3700,3476066
3700,3489412
3700,3479507
3700,3513490
3700,3460704
3700,3481245
3700,3511063
3700,3438342
3700,3479911
3700,3491002
3700,3536096
3700,3498804
3700,3499594
3700,3498631
3700,3464891
3700,3464531
3700,3500134
3700,3591131
3700,3456904
3700,3418915
3700,3562183
3700,3459377
3700,3498589
3700,3547862
3700,3532002
3700,3570861
3700,3454871
3700,3453938
3700,3464275
3700,3530797
3700,3519849
3700,3529012
3700,3461247
3700,3574605
3700,3534290
3700,3513643
3700,3453035
3700,3510233
3700,3492706
3700,3536667
3700,3453947
3700,3554885
3700,3444563
3700,3423298
3700,3507484
3700,3488486
3700,3508682
3700,3487424
3700,3515033
3800,3643381
3800,3734877
3800,3664182
3800,3661075
3800,3711634
3800,3732231
3800,3709669
3800,3712008
3800,3684905
3800,3668546
3800,3671090
3800,3725502
3800,3681713
3800,3674312
3800,3679824
3800,3618251
3800,3698364
3800,3580087
3800,3719552
3800,3620079
3800,3752178
3800,3700781
3800,3734881
3800,3675420
3800,3590536
3800,3674347
3800,3727074
3800,3595432
3800,3718872
3800,3677916
3800,3631163
3800,3646432
3800,3717077
3800,3659955
3800,3665576
3800,3725757
3800,3695291
3800,3646992
3800,3667467
3800,3693742
3800,3678342
3800,3740428
3800,3677689
3800,3624444
3800,3668975
3800,3671613
3800,3606843
3800,3671821
3800,3740500
3800,3654927
3900,3869017
3900,3860198
3900,3903756
3900,3856337
3900,3927249
3900,3860021
3900,3877393
3900,3909076
3900,3858811
3900,3809332
3900,3780146
3900,3951792
3900,3845265
3900,3893175
3900,3840183
3900,3878786
3900,3844230
3900,3861873
3900,3954411
3900,3899406
3900,3961418
3900,3901507
3900,3864595
3900,3889539
3900,3969899
3900,3891939
3900,3927496
3900,3866987
3900,3885415
3900,3882596
3900,3876752
3900,3958601
3900,3880968
3900,3798494
3900,3921079
3900,3918409
3900,3841054
3900,3913133
3900,3874756
3900,3922415
3900,3852898
3900,3978243
3900,3875936
3900,3817195
3900,3892399
3900,3967774
3900,3891628
3900,3898389
3900,3832255
3900,3891383
4000,4030402
4000,4093159
4000,4048476
4000,4078694
4000,4051790
4000,4039152
4000,4055891
4000,4064322
4000,4086812
4000,4084737
4000,4064383
4000,4119520
4000,4061665
4000,3997402
4000,4104724
4000,4050937
4000,4034565
4000,4028680
4000,4111311
4000,4108126
4000,4081582
4000,4144262
4000,4094738
4000,4095616
4000,4040364
4000,4066750
4000,4128953
4000,4044282
4000,4082612
4000,4054420
4000,4034604
4000,4019446
4000,4013919
4000,4046713
4000,4068664
4000,4160983
4000,4082642
4000,4168598
4000,4085067
4000,4085900
4000,4055081
4000,4059699
4000,4128666
4000,4064509
4000,4038640
4000,4117351
4000,4020647
4000,4112112
4000,4103874
4000,4106408
4100,4301858
4100,4287139
4100,4244066
4100,4370278
4100,4253045
4100,4231661
4100,4218580
4100,4255457
4100,4287383
4100,4321908
4100,4256441
4100,4284690
4100,4250389
4100,4256482
4100,4258095
4100,4349134
4100,4310972
4100,4198039
4100,4282139
4100,4298403
4100,4250026
4100,4308946
4100,4278464
4100,4282636
4100,4351718
4100,4287225
4100,4293093
4100,4254538
4100,4321929
4100,4255724
4100,4274017
4100,4224756
4100,4313247
4100,4278118
4100,4259759
4100,4319419
4100,4236289
4100,4271454
4100,4326540
4100,4340397
4100,4282590
4100,4266824
4100,4264156
4100,4320441
4100,4185079
4100,4331508
4100,4273929
4100,4334839
4100,4261918
4100,4270929
4200,4466868
4200,4469368
4200,4501898
4200,4473927
4200,4563690
4200,4560163
4200,4555339
4200,4400828
4200,4479454
4200,4485481
4200,4465177
4200,4497878
4200,4478328
4200,4468277
4200,4535086
4200,4436456
4200,4454804
4200,4527448
4200,4461100
4200,4538548
4200,4430938
4200,4484639
4200,4456024
4200,4572180
4200,4485290
4200,4541088
4200,4561001
4200,4409841
4200,4458805
4200,4522116
4200,4531818
4200,4542026
4200,4454975
4200,4532200
4200,4507395
4200,4477445
4200,4553075
4200,4491142
4200,4543781
4200,4502567
4200,4430961
4200,4437037
4200,4473467
4200,4497238
4200,4552730
4200,4443167
4200,4425238
4200,4579764
4200,4484201
4200,4518439
4300,4744500
4300,4653656
4300,4696937
4300,4772234
4300,4652934
4300,4650785
4300,4669594
4300,4719292
4300,4734205
4300,4653023
4300,4812332
4300,4736518
4300,4711711
4300,4759742
4300,4693021
4300,4738387
4300,4658747
4300,4773105
4300,4717383
4300,4749422
4300,4704946
4300,4627063
4300,4667930
4300,4714743
4300,4709331
4300,4630477
4300,4624409
4300,4706810
4300,4738762
4300,4784069
4300,4741090
4300,4806307
4300,4767406
4300,4681339
4300,4767793
4300,4749584
4300,4685124
4300,4721870
4300,4738905
4300,4768347
4300,4739005
4300,4733318
4300,4705416
4300,4741215
4300,4651304
4300,4734802
4300,4715440
4300,4712593
4300,4708924
4300,4662804
4400,4926130
4400,4914966
4400,4939718
4400,4950577
4400,5064103
4400,4921545
4400,4910350
4400,4900678
4400,4893778
4400,4950350
4400,5023420
4400,4874078
4400,4912934
4400,4995100
4400,4868775
4400,4937603
4400,4941576
4400,4966661
4400,5092068
4400,4922072
4400,4980447
4400,4930374
4400,4939531
4400,4919809
4400,4923951
4400,4904969
4400,4938584
4400,4955212
4400,4938151
4400,4872019
4400,4949401
4400,4961446
4400,4881084
4400,4923867
4400,4928247
4400,4926021
4400,4990842
4400,4987598
4400,4978916
4400,4965433
4400,4928662
4400,4890170
4400,4899867
4400,4906015
4400,4965012
4400,5026179
4400,5007101
4400,4913127
